"subject" "activity" "tBodyAcc-mean()-X" "tBodyAcc-mean()-Y" "tBodyAcc-mean()-Z" "tBodyAcc-std()-X" "tBodyAcc-std()-Y" "tBodyAcc-std()-Z" "tGravityAcc-mean()-X" "tGravityAcc-mean()-Y" "tGravityAcc-mean()-Z" "tGravityAcc-std()-X" "tGravityAcc-std()-Y" "tGravityAcc-std()-Z" "tBodyAccJerk-mean()-X" "tBodyAccJerk-mean()-Y" "tBodyAccJerk-mean()-Z" "tBodyAccJerk-std()-X" "tBodyAccJerk-std()-Y" "tBodyAccJerk-std()-Z" "tBodyGyro-mean()-X" "tBodyGyro-mean()-Y" "tBodyGyro-mean()-Z" "tBodyGyro-std()-X" "tBodyGyro-std()-Y" "tBodyGyro-std()-Z" "tBodyGyroJerk-mean()-X" "tBodyGyroJerk-mean()-Y" "tBodyGyroJerk-mean()-Z" "tBodyGyroJerk-std()-X" "tBodyGyroJerk-std()-Y" "tBodyGyroJerk-std()-Z" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc-mean()-X" "fBodyAcc-mean()-Y" "fBodyAcc-mean()-Z" "fBodyAcc-std()-X" "fBodyAcc-std()-Y" "fBodyAcc-std()-Z" "fBodyAccJerk-mean()-X" "fBodyAccJerk-mean()-Y" "fBodyAccJerk-mean()-Z" "fBodyAccJerk-std()-X" "fBodyAccJerk-std()-Y" "fBodyAccJerk-std()-Z" "fBodyGyro-mean()-X" "fBodyGyro-mean()-Y" "fBodyGyro-mean()-Z" "fBodyGyro-std()-X" "fBodyGyro-std()-Y" "fBodyGyro-std()-Z" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()"
10 "LAYING" 0.254933145085859 -0.0258616262498485 -0.106448107572727 -0.948779502474748 -0.924610068989899 -0.923701597459596 -0.372795956282828 0.705306720237374 0.597781775808081 -0.928142820732323 -0.950962563232828 -0.92743814409596 0.080888479449495 0.00946717801656566 -0.00392513621328535 -0.976759711161616 -0.962599466010101 -0.976893888585859 -0.0172277861330808 -0.0900017895888889 0.139860389686869 -0.954944432777778 -0.959916241262626 -0.945875849040404 -0.0999128584232323 -0.0395452928387879 -0.0694639485252525 -0.966842801717172 -0.980219816919192 -0.980282272474747 -0.917725431717172 -0.898699737277778 -0.917725431717172 -0.898699737277778 -0.975430556464646 -0.966948689646465 -0.923771470707071 -0.922352707565657 -0.980427566717172 -0.97182725989899 -0.959309631717172 -0.936738098232323 -0.945940678484849 -0.945322995 -0.923459422191919 -0.918602800106061 -0.975904443737374 -0.96249868 -0.973159360959596 -0.980051098585859 -0.96558213979798 -0.979370064949495 -0.948625224893939 -0.965740152121212 -0.950345311919192 -0.957462790757576 -0.957422884444444 -0.949622462272727 -0.92781473550505 -0.90088285434596 -0.967797882979798 -0.965115048282828 -0.942810772171717 -0.923418356181818 -0.973906748535354
12 "LAYING" 0.269992399596875 -0.018754155986125 -0.10423475365625 -0.95092158803125 -0.910140287815625 -0.929253821190625 -0.41532165756875 0.581519158121875 0.6050747799375 -0.93228134251875 -0.92828775865625 -0.93273371594375 0.084413452259375 0.0163701765969375 -0.00838778473061875 -0.97612218878125 -0.96871169671875 -0.9750765575625 -0.0146467464325313 -0.092660846530625 0.1235780619125 -0.96122430803125 -0.95546021821875 -0.9594648865625 -0.101126629508125 -0.036850191625875 -0.061383322403125 -0.9730256098125 -0.97711670171875 -0.98172611759375 -0.903810317896875 -0.905673443625 -0.903810317896875 -0.905673443625 -0.97505819840625 -0.96915190340625 -0.9259595940625 -0.93253465346875 -0.97981030328125 -0.97295855390625 -0.95883002075 -0.9316217037625 -0.94598715328125 -0.948494805125 -0.90599902675625 -0.92618610188125 -0.975888221875 -0.96910051946875 -0.9720385111875 -0.97867007871875 -0.970633176 -0.97675227765625 -0.95629915109375 -0.961654461625 -0.96076801290625 -0.96317016475 -0.9528906236875 -0.9630013444375 -0.92935931894375 -0.90917138181875 -0.96898136178125 -0.96846930571875 -0.9492410274375 -0.93413701825 -0.9742218005
13 "LAYING" 0.273853462730887 -0.0176222963961162 -0.112444563614679 -0.960208427461774 -0.947716908379205 -0.949697049510703 -0.366588076140673 0.778717842073394 0.430858472428746 -0.942750682874618 -0.972852792232416 -0.959444529055046 0.0842757265932722 0.0124915263285719 -0.00257706049767584 -0.980246621223242 -0.964934583975535 -0.978164104220184 -0.0152505132308502 -0.0893221868382263 0.136606395752294 -0.965669735259939 -0.962110713547401 -0.960668604617737 -0.102603447030581 -0.0396681681856269 -0.0678323815437309 -0.974749708379205 -0.979853393853211 -0.983001722996942 -0.951776266238532 -0.935711897666667 -0.951776266238532 -0.935711897666667 -0.97751127648318 -0.970297655779817 -0.937226095443425 -0.937954953394495 -0.982108452293578 -0.975549387370031 -0.965501071681957 -0.951659108042814 -0.961023959755352 -0.958525604067278 -0.948807948376147 -0.947312289214067 -0.979980270183486 -0.965326654801223 -0.974723303088685 -0.982436250917431 -0.967114271437309 -0.980299969449541 -0.961498035565749 -0.9668538 -0.960450322140673 -0.967304566972477 -0.960227610672783 -0.964416910458716 -0.947366856944954 -0.939428084165138 -0.970711951345566 -0.968751851284404 -0.953879845626911 -0.938876854067278 -0.977204508042813
18 "LAYING" 0.272561297247253 -0.0169250909195055 -0.10960684085989 -0.96961415914011 -0.963759565697802 -0.968959239065934 -0.330689426096154 0.603979749807692 0.593587024010989 -0.955378037857143 -0.983062523021978 -0.976452952664835 0.0799547508590659 0.0110771189619231 -0.00254370112690934 -0.983359696236264 -0.976035485961538 -0.982958745384615 -0.0176173751982967 -0.0987406368440659 0.118223217373901 -0.976407446153846 -0.970159906208791 -0.971700692417582 -0.104057696288462 -0.0366427493663187 -0.0619422083763736 -0.981151583516483 -0.984584586373626 -0.987772689917582 -0.966034892326923 -0.958306255961539 -0.966034892326923 -0.958306255961539 -0.982409955796703 -0.98025152239011 -0.952113821565934 -0.953512726813187 -0.986018558159341 -0.982622174835165 -0.972920611593407 -0.968134533873626 -0.973878895274725 -0.968489763690385 -0.96341741171978 -0.968102578956044 -0.983549097747253 -0.976572600357143 -0.9805458 -0.984683546758242 -0.977152861758242 -0.983953168791209 -0.971815407417582 -0.973452278653846 -0.971722743846154 -0.978014137774725 -0.968718140082418 -0.974288106483516 -0.964827276684066 -0.960790123881868 -0.97990290445055 -0.979625203571429 -0.963912408873626 -0.954954913983517 -0.983295543791209
20 "LAYING" 0.26582536639209 -0.0169615647144633 -0.107139832871751 -0.964945256581921 -0.93582108909887 -0.940668944645198 -0.398476501720339 0.415674558059322 0.454255141983051 -0.948222745112994 -0.954241397734463 -0.935978195053672 0.0794427786288136 0.00938531656112994 -0.00422842486926271 -0.978931187231638 -0.96885237960452 -0.977644026920904 -0.0179854155934576 -0.0916316882576271 0.111966515387006 -0.961658074522599 -0.963077071920904 -0.963773462824859 -0.102466554661017 -0.0370167935387006 -0.0604248081997175 -0.972377955225989 -0.978515181779661 -0.982848263926554 -0.929611065629944 -0.926154527138418 -0.929611065629944 -0.926154527138418 -0.977507199039548 -0.971778755706215 -0.935806620451977 -0.933662267457627 -0.980375519971751 -0.973467067655367 -0.969162372542373 -0.946715322737288 -0.953777335819209 -0.963612449548023 -0.934440029240113 -0.938305640705932 -0.978771751666667 -0.968892204180791 -0.97469487980226 -0.981108162853107 -0.971208556581921 -0.979220985367232 -0.955108579407627 -0.965529036723164 -0.963518626299435 -0.964004343135593 -0.962219392683616 -0.967251305282486 -0.944302085014124 -0.928814235847458 -0.971790946779661 -0.970814174887006 -0.948960695649718 -0.935754777711864 -0.974694618305085
24 "LAYING" 0.269065768388714 -0.0172181457401575 -0.104538734887402 -0.964254633055118 -0.965532038057743 -0.962056891223097 -0.370128634089239 0.688500176981627 0.65712128852231 -0.944890583149606 -0.979902703674541 -0.965411395590551 0.0821487313391076 0.0083120758043832 -0.00714082749872441 -0.984460623832021 -0.980430882598425 -0.984016753700787 -0.0174528125814026 -0.0958819715524934 0.131610731346457 -0.979786984645669 -0.965768456587927 -0.970436393385827 -0.100208508068241 -0.0399518426564016 -0.0645905246299213 -0.983410605984252 -0.98184921175853 -0.990157152677165 -0.962310556246719 -0.949346613175853 -0.962310556246719 -0.949346613175853 -0.984637759107612 -0.982232698818898 -0.946949607401575 -0.953216710839895 -0.985940820708661 -0.980988598530184 -0.97052052503937 -0.970296669028871 -0.970810913018373 -0.962146735572178 -0.964943743509186 -0.959967627742782 -0.984357771102362 -0.980474505958005 -0.981904437952756 -0.98604504855643 -0.981852752545932 -0.984703753858268 -0.97586405152231 -0.970442107454068 -0.970867335826772 -0.981190014461942 -0.96369044992126 -0.973007979501312 -0.960379062653543 -0.951305870472441 -0.982204585826772 -0.981186152519685 -0.963486854776903 -0.954957367926509 -0.981833071181102
22 "SITTING" 0.230169011818182 0.00397293402818182 -0.0843527640454545 -0.967881113181818 -0.931284419545454 -0.93975407 0.740746962727273 0.198766359090909 0.257899178681818 -0.950048225 -0.949910453181818 -0.936900374090909 0.0668798669090909 0.0217469099545455 0.00907921315454546 -0.986420696363636 -0.977515741363636 -0.985894848636364 -0.0339884116818182 -0.0826051714409091 0.100989608818182 -0.984736490454545 -0.956831296363636 -0.948310357272727 -0.0954798081818182 -0.0399292404090909 -0.0543517653671818 -0.988940887727273 -0.987999097272727 -0.982814412272727 -0.928715365909091 -0.914117846818182 -0.928715365909091 -0.914117846818182 -0.984712196363636 -0.983841933636364 -0.944627597727273 -0.94990098 -0.988376450909091 -0.987570647727273 -0.972839710909091 -0.949134844090909 -0.963804371818182 -0.966312653636364 -0.927196259090909 -0.932734136363636 -0.986001334545455 -0.976896726818182 -0.983809727272727 -0.988234746363636 -0.980103676818182 -0.986534995454545 -0.982483986363636 -0.969430975454545 -0.956432246818182 -0.985543849545455 -0.951088655 -0.950855084090909 -0.942722390909091 -0.914594702727273 -0.983010853181818 -0.983805056363636 -0.965861725 -0.949051386363636 -0.98762676
23 "SITTING" 0.272325975018817 -0.0111861877075269 -0.107133443178226 -0.982216010134409 -0.933648453706989 -0.937437639005376 0.866771102016129 0.0995223408201613 0.170534490856452 -0.975248691639785 -0.95268777869086 -0.940800728037634 0.0776967144166667 0.00156583611954301 -0.00544735112330108 -0.985935876236559 -0.975540950913979 -0.983304897688172 -0.0389382139182796 -0.0772949783594086 0.0765030372 -0.980926935537634 -0.968712611962366 -0.959980319919355 -0.0959028381274194 -0.0408034940879032 -0.0500930365568817 -0.987747368172043 -0.987752599032258 -0.985557331021505 -0.953928319086021 -0.937182739733871 -0.953928319086021 -0.937182739733871 -0.983637222473118 -0.980325267876344 -0.94479370266129 -0.951605346102151 -0.989223518655914 -0.986325646129032 -0.982660248682796 -0.946628851263441 -0.956380022741935 -0.982186236182796 -0.931283542643548 -0.932439012327957 -0.986104011370968 -0.975584975322581 -0.98058374561828 -0.987075100107527 -0.977388200967742 -0.984678168817204 -0.977935343413978 -0.974276735053763 -0.962446877741935 -0.982029171935484 -0.966066465376344 -0.962921636908602 -0.950885640887097 -0.939806735069892 -0.980193490725806 -0.97943559766129 -0.965081931908602 -0.951760028467742 -0.98697260405914
25 "SITTING" 0.276703107017115 -0.0120623703934719 -0.103558212370905 -0.983707607481663 -0.931153165647922 -0.933596919779951 0.916565019559902 0.0662395401081924 0.0957131569854034 -0.984010996968215 -0.960030353496332 -0.948048120518337 0.0751576419472616 0.00531759525266553 -0.00528202783027384 -0.981400717359413 -0.968039466968215 -0.978672252933985 -0.0368359166542543 -0.0728015751889976 0.0834168410339609 -0.977878925574572 -0.959804588190709 -0.951769548435208 -0.0967277403789731 -0.0406586982063325 -0.050674089811687 -0.982198468239609 -0.983167564963325 -0.97973026400978 -0.951985466625917 -0.938265012444988 -0.951985466625917 -0.938265012444988 -0.978327136356968 -0.973376425696821 -0.946478556577017 -0.944948158894865 -0.984462424816626 -0.98084946198044 -0.981859595012225 -0.944116756210269 -0.952869467579462 -0.984643398581907 -0.929107024743276 -0.928814405158924 -0.981758873569682 -0.96815463200489 -0.975606239779951 -0.982716257555012 -0.970318496332518 -0.980373938337408 -0.973193712811736 -0.966125883398533 -0.954618393643032 -0.979517236332518 -0.956897739535452 -0.955407868410758 -0.951356350660147 -0.94120094791687 -0.973140226405868 -0.972706673105134 -0.958359662762836 -0.946215228821516 -0.981720483520782
26 "SITTING" 0.272334301696429 -0.0134004015874745 -0.107271921459694 -0.985698550229592 -0.941287016299311 -0.945220214321429 0.885584902091837 0.105249680411633 0.177831807033112 -0.983956509872449 -0.963527195153061 -0.95377788242602 0.0764682986897959 0.005815124373875 -0.00218915462076531 -0.986236751785714 -0.975547875433673 -0.984208510969388 -0.0376872766520408 -0.0781933738227041 0.0796366249168367 -0.983107769668367 -0.971700383877551 -0.961171235943878 -0.0952978724183673 -0.0399024961795918 -0.0517148441954847 -0.987257753290816 -0.988333034285714 -0.984749110076531 -0.959369199285714 -0.945542396429082 -0.959369199285714 -0.945542396429082 -0.983766956683673 -0.98159182372449 -0.954100615459184 -0.95734137 -0.989268689617347 -0.986635972193878 -0.985101043647959 -0.95274633252551 -0.961493472397959 -0.986077625994898 -0.93917193805102 -0.940914478112245 -0.986440618596939 -0.975555320484694 -0.981724098265306 -0.987287613188776 -0.977428499770408 -0.985316658647959 -0.979691184387755 -0.976962155586735 -0.964679603443878 -0.98429204497449 -0.969277072678571 -0.963787400943878 -0.956816770688775 -0.948001789512755 -0.981376361785714 -0.980787887653061 -0.969458057704082 -0.957386910943878 -0.98737399747449
